,activity_id,team_id,type,date,team_name,home_away,rotated_session,data_saved,stats_saved
118,4569,152,official,20200101,anonymous,A,2,1,1
119,4585,165,official,20200101,anonymous,H,2,1,1
120,4631,175,official,20200101,anonymous,A,1,1,1
121,4568,11,official,20200101,anonymous,H,1,1,1
122,4567,69,official,20200101,anonymous,H,2,1,1
123,4608,92,official,20200101,anonymous,A,2,1,1
124,4642,40,official,20200101,anonymous,H,1,1,1
125,4576,8,official,20200101,anonymous,A,2,1,1
126,4993,123,official,20200101,anonymous,A,1,1,1
127,4903,87,official,20200101,anonymous,H,2,1,1
128,4892,11,official,20200101,anonymous,H,1,1,1
129,4893,174,official,20200101,anonymous,H,2,1,1
130,4902,9,official,20200101,anonymous,A,1,1,1
131,4898,69,official,20200101,anonymous,A,2,1,1
132,4894,40,official,20200101,anonymous,A,1,1,1
133,4964,152,official,20200101,anonymous,A,1,1,1
134,4936,8,official,20200101,anonymous,H,1,1,1
135,4907,175,official,20200101,anonymous,H,1,1,1
136,4935,92,official,20200101,anonymous,H,1,1,1
137,4920,153,official,20200101,anonymous,H,2,1,1
138,4991,165,official,20200101,anonymous,H,2,1,1
139,4962,136,official,20200101,anonymous,A,1,1,1
140,4959,127,official,20200101,anonymous,H,2,1,1
141,5024,9,official,20200101,anonymous,H,1,1,1
142,5056,11,official,20200101,anonymous,A,2,1,1
143,5060,69,official,20200101,anonymous,H,2,1,1
144,5090,92,official,20200101,anonymous,A,1,1,1
145,5071,40,official,20200101,anonymous,H,1,1,1
146,5066,153,official,20200101,anonymous,A,2,1,1
147,5221,165,official,20200101,anonymous,H,2,1,1
148,5205,175,official,20200101,anonymous,A,1,1,1
149,5179,11,official,20200101,anonymous,A,1,1,1
150,5182,69,official,20200101,anonymous,H,2,1,1
151,5206,40,official,20200101,anonymous,A,2,1,1
152,5175,127,official,20200101,anonymous,H,2,1,1
153,5273,123,official,20200101,anonymous,A,2,1,1
154,5243,136,official,20200101,anonymous,H,1,1,1
155,5207,174,official,20200101,anonymous,A,1,1,1
156,5250,92,official,20200101,anonymous,H,1,1,1
157,5194,153,official,20200101,anonymous,H,1,1,1
158,5246,152,official,20200101,anonymous,H,2,1,1
159,5458,165,official,20200101,anonymous,H,2,1,1
160,5441,136,official,20200101,anonymous,A,1,1,1
161,5419,11,official,20200101,anonymous,H,1,1,1
162,5420,174,official,20200101,anonymous,A,1,1,1
163,5421,9,official,20200101,anonymous,H,1,1,1
164,5422,69,official,20200101,anonymous,H,2,1,1
165,5590,92,official,20200101,anonymous,A,2,1,1
166,5515,40,official,20200101,anonymous,H,1,1,1
167,5448,123,official,20200101,anonymous,H,1,1,1
168,5426,175,official,20200101,anonymous,H,1,1,1
169,5466,87,official,20200101,anonymous,A,1,1,1
170,5428,153,official,20200101,anonymous,A,2,1,1
171,5472,152,official,20200101,anonymous,A,2,1,1
172,5430,127,official,20200101,anonymous,A,1,1,1
173,5435,8,official,20200101,anonymous,H,1,1,1
174,5849,123,official,20200101,anonymous,H,1,1,1
175,5775,175,official,20200101,anonymous,A,1,1,1
176,5844,174,official,20200101,anonymous,H,2,1,1
177,5825,127,official,20200101,anonymous,A,1,1,1
178,5840,165,official,20200101,anonymous,H,2,1,1
179,5780,136,official,20200101,anonymous,A,1,1,1
180,5876,152,official,20200101,anonymous,A,2,1,1
181,5896,87,official,20200101,anonymous,H,2,1,1
182,5875,11,official,20200101,anonymous,A,2,1,1
183,5885,9,official,20200101,anonymous,A,1,1,1
184,5869,69,official,20200101,anonymous,H,2,1,1
185,5877,153,official,20200101,anonymous,H,1,1,1
186,5992,92,official,20200101,anonymous,H,1,1,1
187,5938,40,official,20200101,anonymous,H,2,1,1
188,6131,87,official,20200101,anonymous,A,2,1,1
189,6036,11,official,20200101,anonymous,H,1,1,1
190,6570,123,official,20200101,anonymous,H,1,1,1
191,6082,174,official,20200101,anonymous,A,2,1,1
192,6088,9,official,20200101,anonymous,A,1,1,1
193,6083,43,official,20200101,anonymous,H,1,1,1
194,6158,165,official,20200101,anonymous,A,1,1,1
195,6145,136,official,20200101,anonymous,A,2,1,1
196,6108,175,official,20200101,anonymous,H,1,1,1
197,6130,69,official,20200101,anonymous,H,2,1,1
198,6136,92,official,20200101,anonymous,A,2,1,1
199,6161,40,official,20200101,anonymous,A,2,1,1
200,6152,153,official,20200101,anonymous,A,1,1,1
201,6182,152,official,20200101,anonymous,H,1,1,1
202,6107,127,official,20200101,anonymous,H,2,1,1
203,6458,136,official,20200101,anonymous,H,1,1,1
204,6390,174,official,20200101,anonymous,A,2,1,1
205,6386,9,official,20200101,anonymous,H,1,1,1
